開催年,開催日付,競馬場コード,開催回次,開催日目,レース番号,枠番,馬番,血統番号,馬名,性別,毛色コード,馬齢,東西所属コード,調教師コード,斤量,ブリンカー仕様区分,騎手コード,騎手見習いコード,馬体重,増減符号,増減差,着順,走破タイム,単勝オッズ,単勝人気,着差,グレードコード,競争種別コード,重量種別コード,競争条件コード,距離,芝ダート,回り方向,コース区分,本賞金,出走頭数,天気コード,芝馬場,ダート馬場,開催年_1走前,開催日付_1走前,競馬場コード_1走前,馬番_1走前,斤量_1走前,ブリンカー仕様区分_1走前,騎手コード_1走前,騎手名_1走前,馬体重_1走前,異常区分コード_1走前,着順_1走前,1コーナー順位_1走前,2コーナー順位_1走前,3コーナー順位_1走前,4コーナー順位_1走前,単勝オッズ_1走前,単勝人気_1走前,ラスト3Fタイム_1走前,着差_1走前,グレードコード_1走前,競争種別コード_1走前,重量種別コード_1走前,距離_1走前,芝ダート_1走前,回り方向_1走前,競争条件コード_1走前,コース区分_1走前,本賞金_1走前,出走頭数_1走前,天気コード_1走前,芝馬場_1走前,ダート馬場_1走前,開催年_2走前,開催日付_2走前,競馬場コード_2走前,馬番_2走前,斤量_2走前,ブリンカー仕様区分_2走前,騎手コード_2走前,騎手名_2走前,馬体重_2走前,異常区分コード_2走前,着順_2走前,1コーナー順位_2走前,2コーナー順位_2走前,3コーナー順位_2走前,4コーナー順位_2走前,単勝オッズ_2走前,単勝人気_2走前,ラスト3Fタイム_2走前,着差_2走前,グレードコード_2走前,競争種別コード_2走前,重量種別コード_2走前,距離_2走前,芝ダート_2走前,回り方向_2走前,競争条件コード_2走前,コース区分_2走前,本賞金_2走前,出走頭数_2走前,天気コード_2走前,芝馬場_2走前,ダート馬場_2走前,開催年_3走前,開催日付_3走前,競馬場コード_3走前,馬番_3走前,斤量_3走前,ブリンカー仕様区分_3走前,騎手コード_3走前,騎手名_3走前,馬体重_3走前,異常区分コード_3走前,着順_3走前,1コーナー順位_3走前,2コーナー順位_3走前,3コーナー順位_3走前,4コーナー順位_3走前,単勝オッズ_3走前,単勝人気_3走前,ラスト3Fタイム_3走前,着差_3走前,グレードコード_3走前,競争種別コード_3走前,重量種別コード_3走前,距離_3走前,芝ダート_3走前,回り方向_3走前,競争条件コード_3走前,コース区分_3走前,本賞金_3走前,出走頭数_3走前,天気コード_3走前,芝馬場_3走前,ダート馬場_3走前
2019,309,6,2,5,1,1,1,2016100769,ゴールドウイスパー,2,3,3,1,437,520,0,1161,2,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,1,1,2,2016100384,イーパンサーパン,2,4,3,1,1125,540,0,1085,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,2018.0,1201.0,9.0,2.0,540.0,0.0,700.0,四位洋文,464.0,0.0,11.0,0.0,0.0,8.0,7.0,676.0,9.0,389.0,31.0,,11.0,3.0,1400.0,,R,701.0,,70000.0,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,1,2,3,2016105429,ウエスタンカッター,2,4,3,1,1119,540,0,663,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,1,2,4,2016102918,アロハブリーズ,2,1,3,1,1097,540,0,1122,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,2018.0,1215.0,6.0,10.0,540.0,0.0,1122.0,三浦皇成,460.0,0.0,2.0,0.0,0.0,3.0,3.0,62.0,3.0,382.0,1.0,,11.0,3.0,1200.0,,R,703.0,,50000.0,15.0,1.0,0.0,2.0,2018.0,1118.0,8.0,11.0,540.0,0.0,1115.0,浜中俊,460.0,0.0,4.0,0.0,0.0,4.0,4.0,223.0,6.0,376.0,10.0,,11.0,3.0,1200.0,,R,703.0,,50000.0,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,1,3,5,2016102703,バームクーヘン,2,3,3,1,417,540,0,1135,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,2018.0,1209.0,6.0,11.0,540.0,0.0,1135.0,杉原誠人,476.0,0.0,7.0,0.0,0.0,10.0,9.0,382.0,8.0,392.0,19.0,,11.0,3.0,1200.0,,R,703.0,,50000.0,16.0,2.0,0.0,1.0,2018.0,1014.0,4.0,7.0,540.0,0.0,1135.0,杉原誠人,470.0,0.0,10.0,0.0,0.0,12.0,11.0,213.0,8.0,384.0,15.0,,11.0,3.0,1200.0,,L,703.0,,50000.0,15.0,1.0,0.0,2.0,2018.0,923.0,6.0,14.0,540.0,0.0,1096.0,大野拓弥,474.0,0.0,3.0,0.0,0.0,2.0,3.0,315.0,5.0,386.0,20.0,,11.0,3.0,1200.0,,R,703.0,,50000.0,16.0,1.0,0.0,2.0
2019,309,6,2,5,1,3,6,2016102211,セクシオンドール,2,4,3,1,1165,540,0,1096,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,2018.0,1215.0,6.0,8.0,540.0,0.0,1096.0,大野拓弥,478.0,0.0,7.0,0.0,0.0,10.0,7.0,66.0,4.0,386.0,12.0,,11.0,3.0,1200.0,,R,703.0,,50000.0,16.0,1.0,0.0,2.0,2018.0,1124.0,5.0,8.0,540.0,0.0,1096.0,大野拓弥,480.0,0.0,7.0,0.0,0.0,2.0,2.0,26.0,1.0,396.0,11.0,,11.0,3.0,1400.0,,L,703.0,,50000.0,15.0,1.0,0.0,1.0,2018.0,1103.0,5.0,14.0,540.0,0.0,1096.0,大野拓弥,470.0,0.0,2.0,0.0,0.0,2.0,1.0,63.0,2.0,369.0,6.0,,11.0,3.0,1300.0,,L,701.0,,70000.0,16.0,1.0,0.0,1.0
2019,309,6,2,5,1,4,7,2016100544,コーラル,2,5,3,1,1112,510,1,1173,3,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,2018.0,1028.0,4.0,8.0,530.0,0.0,1156.0,加藤祥太,432.0,0.0,12.0,0.0,0.0,13.0,13.0,1844.0,12.0,380.0,29.0,,11.0,3.0,1400.0,,L,703.0,A,50000.0,13.0,4.0,2.0,0.0,2018.0,1007.0,5.0,14.0,530.0,0.0,1169.0,武藤雅,426.0,0.0,12.0,0.0,0.0,5.0,5.0,1772.0,12.0,367.0,25.0,,11.0,3.0,1400.0,,L,703.0,A,50000.0,18.0,1.0,1.0,0.0,2018.0,917.0,6.0,3.0,530.0,0.0,1169.0,武藤雅,422.0,0.0,6.0,0.0,0.0,5.0,6.0,409.0,9.0,361.0,9.0,,11.0,3.0,1200.0,,R,701.0,B,70000.0,16.0,1.0,1.0,0.0
2019,309,6,2,5,1,4,8,2016102702,ホワイトヘブン,2,7,3,1,1089,540,0,726,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,2018.0,1124.0,5.0,3.0,540.0,0.0,1029.0,武士沢友,456.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,9999.0,,11.0,3.0,1400.0,,L,703.0,,50000.0,15.0,1.0,0.0,1.0,2018.0,714.0,3.0,9.0,540.0,0.0,726.0,岩部純二,446.0,4.0,0.0,16.0,16.0,16.0,16.0,761.0,12.0,999.0,9999.0,,11.0,3.0,1800.0,,R,703.0,B,50000.0,16.0,1.0,1.0,0.0,2018.0,624.0,5.0,3.0,540.0,0.0,726.0,岩部純二,442.0,0.0,10.0,0.0,1.0,1.0,2.0,1741.0,13.0,371.0,22.0,,11.0,3.0,1800.0,,L,701.0,D,70000.0,14.0,1.0,3.0,0.0
2019,309,6,2,5,1,5,9,2016100823,セイスピカ,2,4,3,1,1081,540,0,5203,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,2018.0,1208.0,6.0,15.0,540.0,0.0,1122.0,三浦皇成,430.0,0.0,6.0,0.0,0.0,7.0,7.0,120.0,6.0,385.0,10.0,,11.0,3.0,1200.0,,R,703.0,,50000.0,16.0,2.0,0.0,2.0,2018.0,1118.0,5.0,12.0,540.0,0.0,1122.0,三浦皇成,428.0,0.0,7.0,0.0,0.0,11.0,11.0,57.0,3.0,375.0,9.0,,11.0,3.0,1300.0,,L,703.0,,50000.0,16.0,2.0,0.0,1.0,2018.0,916.0,6.0,2.0,540.0,0.0,1122.0,三浦皇成,424.0,0.0,2.0,0.0,0.0,9.0,9.0,90.0,4.0,378.0,4.0,,11.0,3.0,1200.0,,R,703.0,,50000.0,16.0,2.0,0.0,2.0
2019,309,6,2,5,1,5,10,2016102837,リネンエイコウ,2,1,3,1,1077,540,0,1150,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,2018.0,1028.0,5.0,7.0,540.0,0.0,1018.0,和田竜二,438.0,0.0,9.0,0.0,0.0,2.0,2.0,398.0,4.0,368.0,24.0,,11.0,3.0,1600.0,,L,703.0,B,50000.0,12.0,1.0,1.0,0.0,2018.0,1014.0,5.0,9.0,540.0,0.0,1147.0,城戸義政,440.0,0.0,8.0,0.0,0.0,10.0,11.0,2478.0,17.0,345.0,9.0,,11.0,3.0,1600.0,,L,701.0,A,70000.0,18.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,1,6,11,2016101535,ジオパークガイア,2,4,3,1,1119,530,0,1162,1,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,1,6,12,2016101080,クールティアラ,2,3,3,1,1108,540,1,1092,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,2019.0,224.0,6.0,10.0,540.0,1.0,1092.0,津村明秀,472.0,0.0,3.0,0.0,0.0,1.0,1.0,36.0,2.0,381.0,2.0,,12.0,3.0,1200.0,,R,703.0,,50000.0,16.0,1.0,0.0,1.0,2018.0,1208.0,6.0,11.0,540.0,0.0,1009.0,柴田大知,468.0,0.0,7.0,0.0,0.0,4.0,7.0,42.0,2.0,388.0,12.0,,11.0,3.0,1200.0,,R,703.0,,50000.0,16.0,2.0,0.0,2.0,2018.0,1117.0,3.0,1.0,540.0,0.0,1092.0,津村明秀,462.0,0.0,6.0,0.0,0.0,2.0,1.0,31.0,1.0,367.0,4.0,,11.0,3.0,1200.0,,R,703.0,B,50000.0,16.0,2.0,1.0,0.0
2019,309,6,2,5,1,7,13,2016102978,フクノナルボンヌ,2,1,3,1,1008,520,0,1158,2,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,1,7,14,2016100216,タマモキャペリン,2,3,3,1,1094,510,0,1167,3,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,2019.0,210.0,5.0,3.0,530.0,0.0,1169.0,武藤雅,450.0,0.0,4.0,0.0,0.0,5.0,4.0,95.0,5.0,375.0,6.0,,12.0,3.0,1300.0,,L,703.0,,50000.0,16.0,1.0,0.0,3.0,2019.0,127.0,5.0,14.0,530.0,0.0,1169.0,武藤雅,450.0,0.0,4.0,0.0,0.0,11.0,9.0,48.0,3.0,395.0,4.0,,12.0,3.0,1400.0,,L,703.0,,50000.0,16.0,1.0,0.0,1.0,2019.0,112.0,6.0,6.0,530.0,0.0,1169.0,武藤雅,456.0,0.0,2.0,0.0,0.0,11.0,10.0,166.0,6.0,384.0,0.0,,12.0,3.0,1200.0,,R,703.0,,50000.0,16.0,2.0,0.0,1.0
2019,309,6,2,5,1,8,15,2016102875,ニシノライリー,2,4,3,1,1109,540,0,1025,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,2018.0,1125.0,5.0,16.0,540.0,0.0,1043.0,北村宏司,472.0,0.0,11.0,0.0,0.0,10.0,11.0,642.0,11.0,395.0,22.0,,11.0,3.0,1600.0,,L,703.0,,50000.0,16.0,1.0,0.0,1.0,2018.0,902.0,4.0,15.0,540.0,0.0,1043.0,北村宏司,468.0,0.0,9.0,0.0,0.0,10.0,12.0,232.0,7.0,391.0,27.0,,11.0,3.0,1200.0,,L,701.0,,70000.0,15.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,1,8,16,2016103140,ナイスプリンセス,2,3,3,1,1043,540,0,1029,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,2,1,1,2016100146,ユイノコッペパン,1,1,3,1,1152,560,0,733,0,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2019.0,126.0,5.0,9.0,560.0,0.0,1096.0,大野拓弥,440.0,0.0,8.0,0.0,0.0,8.0,8.0,160.0,7.0,402.0,26.0,,12.0,3.0,1600.0,,L,703.0,,50000.0,16.0,1.0,0.0,1.0,2018.0,1027.0,5.0,11.0,550.0,0.0,1051.0,嘉藤貴行,424.0,0.0,5.0,0.0,0.0,15.0,14.0,1766.0,16.0,386.0,18.0,,11.0,3.0,1400.0,,L,701.0,,70000.0,16.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,2,2,2,2016103371,サンメドフォード,2,3,3,1,1096,540,0,1029,0,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2019.0,223.0,6.0,5.0,540.0,0.0,1029.0,武士沢友,472.0,0.0,15.0,11.0,12.0,12.0,12.0,3525.0,14.0,372.0,34.0,,12.0,3.0,1800.0,,R,703.0,A,50000.0,16.0,1.0,1.0,0.0,2018.0,1215.0,6.0,2.0,540.0,0.0,1029.0,武士沢友,470.0,0.0,13.0,13.0,14.0,13.0,13.0,4965.0,16.0,372.0,27.0,,11.0,3.0,1800.0,,R,701.0,A,70000.0,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,2,2,3,2016102773,マヤノハルモニア,2,3,3,1,1141,510,0,1179,3,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2019.0,223.0,10.0,9.0,540.0,0.0,1152.0,小崎綾也,418.0,0.0,9.0,16.0,16.0,9.0,10.0,3252.0,17.0,367.0,15.0,,12.0,3.0,2000.0,,R,703.0,B,50000.0,18.0,1.0,1.0,0.0,2019.0,210.0,10.0,6.0,540.0,0.0,1152.0,小崎綾也,422.0,0.0,9.0,8.0,8.0,9.0,10.0,825.0,10.0,365.0,17.0,,12.0,3.0,2000.0,,R,703.0,A,50000.0,12.0,1.0,2.0,0.0,2018.0,1202.0,6.0,1.0,520.0,0.0,1164.0,藤田菜七,404.0,0.0,8.0,10.0,10.0,10.0,10.0,187.0,5.0,358.0,13.0,,11.0,3.0,2000.0,,R,701.0,A,70000.0,11.0,2.0,1.0,0.0
2019,309,6,2,5,2,3,4,2016101055,ネオブレイブ,1,1,3,1,405,560,0,1075,0,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2019.0,210.0,5.0,5.0,560.0,0.0,1075.0,田辺裕信,496.0,0.0,6.0,0.0,0.0,8.0,7.0,149.0,6.0,379.0,13.0,,12.0,3.0,1300.0,,L,703.0,,50000.0,16.0,1.0,0.0,3.0,2018.0,1028.0,5.0,10.0,550.0,0.0,1075.0,田辺裕信,484.0,0.0,6.0,0.0,0.0,1.0,1.0,297.0,7.0,388.0,9.0,,11.0,3.0,1600.0,,L,703.0,,50000.0,12.0,1.0,0.0,1.0,2018.0,1007.0,5.0,11.0,550.0,0.0,1127.0,丸山元気,490.0,0.0,7.0,0.0,0.0,7.0,6.0,972.0,12.0,401.0,34.0,,11.0,3.0,1600.0,,L,701.0,,70000.0,16.0,1.0,0.0,2.0
2019,309,6,2,5,2,3,5,2016101599,ペイシャニンフ,2,1,3,1,1014,510,0,1173,3,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2019.0,210.0,5.0,8.0,510.0,0.0,1173.0,山田敬士,488.0,0.0,16.0,0.0,0.0,16.0,16.0,1635.0,15.0,355.0,26.0,,12.0,3.0,1600.0,,L,703.0,D,50000.0,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,2,4,6,2016100650,ファンタスティック,1,1,3,1,1064,560,1,422,0,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2019.0,127.0,5.0,15.0,560.0,0.0,422.0,内田博幸,472.0,0.0,7.0,5.0,5.0,7.0,8.0,54.0,3.0,396.0,18.0,,12.0,3.0,2100.0,,L,703.0,,50000.0,15.0,1.0,0.0,1.0,2019.0,105.0,6.0,9.0,560.0,0.0,422.0,内田博幸,468.0,0.0,3.0,15.0,15.0,14.0,13.0,866.0,12.0,394.0,14.0,,12.0,3.0,1800.0,,R,703.0,,50000.0,16.0,1.0,0.0,1.0,2018.0,1125.0,5.0,10.0,550.0,0.0,422.0,内田博幸,468.0,0.0,10.0,0.0,0.0,16.0,16.0,1426.0,13.0,379.0,22.0,,11.0,3.0,1600.0,,L,703.0,,50000.0,16.0,1.0,0.0,1.0
2019,309,6,2,5,2,4,7,2016100849,ジェイケイブラック,1,5,3,1,1093,560,0,684,0,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2019.0,106.0,6.0,3.0,560.0,0.0,684.0,田中勝春,500.0,0.0,8.0,15.0,15.0,14.0,8.0,480.0,8.0,389.0,10.0,,12.0,3.0,1800.0,,R,703.0,,50000.0,16.0,1.0,0.0,1.0,2018.0,1209.0,6.0,10.0,550.0,0.0,684.0,田中勝春,492.0,0.0,6.0,3.0,3.0,2.0,2.0,496.0,10.0,360.0,7.0,,11.0,3.0,1800.0,,R,701.0,A,70000.0,14.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,2,5,8,2016100644,サンデーレイジ,1,3,3,1,1031,530,0,1167,3,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2019.0,216.0,5.0,14.0,560.0,0.0,1118.0,宮崎北斗,474.0,0.0,14.0,0.0,0.0,13.0,13.0,2900.0,15.0,395.0,38.0,,12.0,3.0,1600.0,,L,703.0,,50000.0,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,2,5,9,2016102696,マビヨン,1,3,3,1,1106,560,0,689,0,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2019.0,216.0,5.0,7.0,560.0,0.0,1092.0,津村明秀,468.0,0.0,13.0,0.0,16.0,15.0,15.0,1932.0,13.0,347.0,17.0,,12.0,3.0,1800.0,,L,703.0,D,50000.0,16.0,1.0,1.0,0.0,2018.0,1118.0,5.0,5.0,550.0,0.0,1043.0,北村宏司,468.0,0.0,11.0,0.0,2.0,2.0,2.0,108.0,5.0,364.0,17.0,,11.0,3.0,1800.0,,L,701.0,C,70000.0,11.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,2,6,10,2016104576,ドンヒューズ,1,1,3,1,1097,560,0,1088,0,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2019.0,211.0,5.0,13.0,560.0,0.0,1014.0,福永祐一,516.0,0.0,2.0,0.0,0.0,6.0,5.0,89.0,5.0,383.0,0.0,,12.0,3.0,1600.0,,L,703.0,,50000.0,16.0,2.0,0.0,1.0,2018.0,1125.0,5.0,5.0,550.0,0.0,1088.0,川田将雅,512.0,0.0,4.0,0.0,0.0,3.0,3.0,112.0,5.0,386.0,4.0,,11.0,3.0,1600.0,,L,703.0,,50000.0,16.0,1.0,0.0,1.0,2018.0,1028.0,5.0,1.0,550.0,0.0,1014.0,福永祐一,518.0,0.0,5.0,0.0,0.0,3.0,3.0,79.0,5.0,383.0,7.0,,11.0,3.0,1600.0,,L,703.0,,50000.0,12.0,1.0,0.0,1.0
2019,309,6,2,5,2,6,11,2016104264,ケイティロード,1,3,3,1,1080,540,0,1158,2,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2019.0,216.0,5.0,9.0,540.0,0.0,1158.0,野中悠太,486.0,0.0,11.0,0.0,0.0,15.0,14.0,2278.0,15.0,376.0,15.0,,12.0,3.0,1400.0,,L,703.0,,50000.0,16.0,1.0,0.0,1.0,2018.0,1028.0,5.0,8.0,550.0,0.0,1150.0,石川裕紀,472.0,0.0,16.0,0.0,15.0,16.0,16.0,1769.0,13.0,368.0,56.0,,11.0,3.0,1800.0,,L,701.0,B,70000.0,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,2,7,12,2016110133,イッツリット,1,1,3,1,1114,560,0,5386,0,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2019.0,211.0,5.0,4.0,560.0,0.0,5386.0,戸崎圭太,484.0,0.0,5.0,0.0,0.0,8.0,10.0,77.0,3.0,384.0,5.0,,12.0,3.0,1600.0,,L,703.0,,50000.0,16.0,2.0,0.0,1.0,2018.0,1125.0,5.0,2.0,550.0,0.0,5386.0,戸崎圭太,488.0,0.0,5.0,0.0,0.0,4.0,3.0,37.0,1.0,387.0,4.0,,11.0,3.0,1600.0,,L,703.0,,50000.0,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,2,7,13,2016102871,ラウズアップ,1,4,3,1,1024,560,0,726,0,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2018.0,1222.0,6.0,11.0,550.0,0.0,726.0,岩部純二,412.0,0.0,13.0,0.0,0.0,13.0,13.0,4752.0,11.0,358.0,28.0,E,11.0,2.0,1200.0,,R,999.0,A,160000.0,14.0,4.0,1.0,0.0,2018.0,1208.0,6.0,5.0,540.0,0.0,1153.0,木幡初也,416.0,0.0,8.0,11.0,12.0,13.0,11.0,466.0,7.0,402.0,11.0,,11.0,3.0,1800.0,,R,703.0,,50000.0,14.0,2.0,0.0,2.0,2018.0,916.0,6.0,14.0,540.0,0.0,726.0,岩部純二,412.0,0.0,8.0,0.0,12.0,12.0,11.0,589.0,8.0,348.0,6.0,,11.0,3.0,1600.0,,R,703.0,B,50000.0,15.0,2.0,2.0,0.0
2019,309,6,2,5,2,8,14,2016102641,イワネコゴシキ,1,5,3,1,1076,550,0,1169,1,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2019.0,119.0,6.0,8.0,550.0,0.0,1169.0,武藤雅,510.0,0.0,8.0,3.0,4.0,5.0,4.0,558.0,10.0,411.0,19.0,,12.0,3.0,1800.0,,R,703.0,,50000.0,16.0,1.0,0.0,1.0,2018.0,1222.0,6.0,9.0,540.0,0.0,1169.0,武藤雅,516.0,0.0,10.0,1.0,1.0,1.0,1.0,544.0,10.0,432.0,29.0,,11.0,3.0,1800.0,,R,701.0,,70000.0,16.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,2,8,15,2016102783,セオリー,1,5,3,1,1038,560,0,1077,0,0,,0,0,0,0,0,0,,12,3,703,1800,d,R,,50000,0,0,0,0,2019.0,216.0,8.0,7.0,560.0,0.0,1014.0,福永祐一,488.0,0.0,3.0,8.0,7.0,6.0,6.0,131.0,5.0,390.0,8.0,,12.0,3.0,1800.0,,R,703.0,,50000.0,13.0,2.0,0.0,1.0,2019.0,127.0,5.0,1.0,560.0,0.0,1077.0,石橋脩,484.0,0.0,11.0,0.0,16.0,15.0,15.0,82.0,3.0,347.0,18.0,,12.0,3.0,1800.0,,L,701.0,D,60000.0,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,3,1,1,2016102430,ノボオリエンス,2,1,3,1,1103,540,0,5517,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,2019.0,216.0,5.0,1.0,540.0,0.0,5517.0,ミナリク,466.0,0.0,3.0,0.0,0.0,1.0,1.0,48.0,3.0,387.0,2.0,,12.0,3.0,1400.0,,L,701.0,,60000.0,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,3,1,2,2016101948,ブラックアマゾン,1,6,3,1,1056,560,0,689,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,3,2,3,2016106548,キンショーヘイロー,1,3,3,1,1112,560,0,422,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,309,6,2,5,3,2,4,2016105082,クイーンズテイスト,2,4,3,1,1115,520,0,1161,2,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,2019.0,114.0,6.0,3.0,540.0,0.0,660.0,横山典弘,468.0,0.0,7.0,0.0,7.0,6.0,6.0,125.0,5.0,370.0,13.0,,12.0,3.0,1600.0,,R,703.0,C,50000.0,16.0,1.0,1.0,0.0,2018.0,630.0,3.0,5.0,540.0,0.0,660.0,横山典弘,462.0,0.0,6.0,9.0,7.0,6.0,5.0,57.0,2.0,365.0,9.0,,11.0,3.0,1800.0,,R,703.0,A,50000.0,15.0,1.0,1.0,0.0,2018.0,602.0,5.0,11.0,540.0,0.0,660.0,横山典弘,464.0,0.0,3.0,0.0,0.0,8.0,8.0,49.0,3.0,342.0,8.0,,11.0,3.0,1600.0,,L,701.0,C,70000.0,11.0,1.0,1.0,0.0
2019,309,6,2,5,3,3,5,2016105569,ラヴィブリランテ,2,3,3,1,1127,540,0,1075,0,0,,0,0,0,0,0,0,,12,3,703,1200,d,R,,50000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
